# 'k', 'k_acc', 'k_presicion', 'k_recall', 'k_fscore', 'c_acc', 'c_presicion', 'c_recall', 'c_fscore'
1.000000,0.540000,0.493733,0.540000,0.493291,0.683333,0.580160,0.683333,0.608791
2.000000,0.869167,0.874275,0.869167,0.863765,0.776667,0.712672,0.776667,0.731443
3.000000,0.973333,0.979683,0.973333,0.973783,1.000000,1.000000,1.000000,1.000000
4.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
5.000000,1.000000,1.000000,1.000000,1.000000,0.987500,0.989286,0.987500,0.985897
6.000000,1.000000,1.000000,1.000000,1.000000,0.960000,0.978667,0.960000,0.966815
7.000000,1.000000,1.000000,1.000000,1.000000,0.986667,1.000000,0.986667,0.992889
8.000000,1.000000,1.000000,1.000000,1.000000,0.960833,0.981898,0.960833,0.968010
9.000000,1.000000,1.000000,1.000000,1.000000,0.788333,0.799065,0.788333,0.762072
10.000000,1.000000,1.000000,1.000000,1.000000,0.815000,0.762493,0.815000,0.767189
