# 'k', 'k_acc', 'k_presicion', 'k_recall', 'k_fscore', 'c_acc', 'c_presicion', 'c_recall', 'c_fscore'
1.000000,0.273109,0.250704,0.273109,0.231224,0.273109,0.250704,0.273109,0.231224
2.000000,0.668389,0.706701,0.668389,0.668407,0.671709,0.709296,0.671709,0.671655
3.000000,0.951387,0.958633,0.951387,0.951023,0.951387,0.958772,0.951387,0.951061
4.000000,0.996639,0.997319,0.996639,0.996749,0.996639,0.997319,0.996639,0.996749
5.000000,0.998319,0.998880,0.998319,0.998443,0.998319,0.998880,0.998319,0.998443
6.000000,0.998319,0.998880,0.998319,0.998443,0.998319,0.998880,0.998319,0.998443
7.000000,0.998319,0.998880,0.998319,0.998443,0.998319,0.998880,0.998319,0.998443
8.000000,0.996653,0.997380,0.996653,0.996701,0.996653,0.997380,0.996653,0.996701
9.000000,0.981597,0.975625,0.981597,0.976525,0.988291,0.984552,0.988291,0.985323
10.000000,0.974902,0.962597,0.974902,0.967055,0.974902,0.962597,0.974902,0.967055
