# 'k', 'k_acc', 'k_presicion', 'k_recall', 'k_fscore', 'c_acc', 'c_presicion', 'c_recall', 'c_fscore'
1.000000,0.952923,0.920844,0.952923,0.933992,0.859385,0.781343,0.859385,0.809400
2.000000,0.968615,0.945221,0.968615,0.955218,0.968615,0.945221,0.968615,0.955218
3.000000,0.968615,0.945221,0.968615,0.955218,0.968615,0.947050,0.968615,0.955885
4.000000,0.968615,0.947050,0.968615,0.955885,0.944923,0.930137,0.944923,0.933316
5.000000,0.968615,0.947050,0.968615,0.955885,0.945538,0.918203,0.945538,0.928192
6.000000,0.960615,0.947050,0.960615,0.951085,0.968615,0.945221,0.968615,0.955218
7.000000,0.968615,0.947050,0.968615,0.955885,0.952923,0.927375,0.952923,0.936610
8.000000,0.968615,0.947050,0.968615,0.955885,0.755385,0.662297,0.755385,0.689802
9.000000,0.968615,0.947050,0.968615,0.955885,0.605538,0.575264,0.605538,0.537987
10.000000,0.968615,0.947050,0.968615,0.955885,0.526462,0.483801,0.526462,0.449200
