# 'k', 'k_acc', 'k_presicion', 'k_recall', 'k_fscore', 'c_acc', 'c_presicion', 'c_recall', 'c_fscore'
1.000000,0.966667,0.971111,0.966667,0.965185,0.966667,0.971111,0.966667,0.965185
2.000000,0.966667,0.971111,0.966667,0.965185,0.966667,0.971111,0.966667,0.965185
3.000000,0.958333,0.969444,0.958333,0.960556,0.958333,0.969444,0.958333,0.960556
4.000000,0.966667,0.971111,0.966667,0.965185,0.966667,0.971111,0.966667,0.965185
5.000000,0.966667,0.971111,0.966667,0.965185,0.966667,0.971111,0.966667,0.965185
6.000000,0.966667,0.971111,0.966667,0.965185,0.966667,0.971111,0.966667,0.965185
7.000000,0.966667,0.971111,0.966667,0.965185,0.966667,0.971111,0.966667,0.965185
8.000000,0.966667,0.971111,0.966667,0.965185,0.966667,0.971111,0.966667,0.965185
9.000000,0.966667,0.971111,0.966667,0.965185,0.966667,0.971111,0.966667,0.965185
10.000000,0.966667,0.971111,0.966667,0.965185,0.966667,0.971111,0.966667,0.965185
