# 'k', 'k_acc', 'k_presicion', 'k_recall', 'k_fscore', 'c_acc', 'c_presicion', 'c_recall', 'c_fscore'
1.000000,0.756000,0.709382,0.756000,0.712140,0.636667,0.497482,0.636667,0.542980
2.000000,0.984000,0.972000,0.984000,0.977164,0.984000,0.972000,0.984000,0.977164
3.000000,0.984000,0.972000,0.984000,0.977164,0.984000,0.972000,0.984000,0.977164
4.000000,0.984000,0.972000,0.984000,0.977164,0.943000,0.929778,0.943000,0.933867
5.000000,0.984000,0.972000,0.984000,0.977164,0.975667,0.972000,0.975667,0.972618
6.000000,0.984000,0.972000,0.984000,0.977164,0.975667,0.967833,0.975667,0.969840
7.000000,0.984000,0.972000,0.984000,0.977164,0.959667,0.944838,0.959667,0.950032
8.000000,0.984000,0.972000,0.984000,0.977164,0.789000,0.764076,0.789000,0.737986
9.000000,0.984000,0.972000,0.984000,0.977164,0.535000,0.461962,0.535000,0.456370
10.000000,0.984000,0.972000,0.984000,0.977164,0.698667,0.590396,0.698667,0.621571
